ORIGIN,FUNCTION_IN_ORIGIN,FUNCTION_AT_DESTINATION_1,FUNCTION_AT_DESTINATION_2,FUNCTION_AT_DESTINATION_3,Family,Subfamily,Activity description,Glycan_annotation,Substrate annotation taken from characterized enzyme description CAZy.org,dbCAN3_Substrate_curated,dbCAN3_Substrate_high_level,Agreement,Comments,,,,,,,,,,,,
"Plant,Fungi,Bacteria,Animal","Structural,Structural_or_Storage","DF,Mucin",NSP,"Mannans_and_Heteromannans,Glycoprotein",GH130,GH130,"β-1,4-mannosylglucose phosphorylase (EC 2.4.1.281); β-1,4-mannooligosaccharide phosphorylase (EC 2.4.1.319); β-1,4-mannosyl-N-acetyl-glucosamine phosphorylase (EC 2.4.1.320); β-1,2-mannobiose phosphorylase (EC 2.4.1.339); β-1,2-oligomannan phosphorylase (EC 2.4.1.340); β-1,2-mannosidase (EC 3.2.1.-); β-1,3-oligomannan phosphorylase (EC 2.4.1.-)","beta-mannan,glucomannan,galactomannan,GlcNAc,mucin_glycan",yes,"mannooligosaccharides,beta-mannan",beta-mannan,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Bacteria,Fungi",Structural,DF,NSP,Hemicellulose,GH131,GH131,"endo-β-1,4-glucanase (EC 3.2.1.21); exo-β-1,3-glucanase (EC 3.2.1.58)",beta-glucan,yes,"beta-glucans, including laminarin, curdlan, pachyman, lichenan, pustulan, and cellulosic derivatives",beta-glucan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,Hemicellulose,GH132,GH132,"exo-β-1,3-glucanase",beta-glucan,yes,"beta-1,3-glucan (fungi)",beta-glucan,"Agree, in favor of our annotation with minor edit (see comments)","based on reported function, removal of xyloglucan",,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH133,GH133,"amylo-α-1,6-glucosidase (EC 3.2.1.33);","starch,dextrin",yes,glycogen,glycogen,"Disagree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Fungi,Bacteria","Structural,Structural_or_Storage",DF,NSP,Mannans_and_Heteromannans,GH134,GH134,"endo-β-1,4-mannanase (EC 3.2.1.78)","beta-mannan,glucomannan,galactomannan",yes,beta-mannan,beta-mannan,"Agree, in favor of our annotation with minor edit (see comments)","based on reported function, addition of galactomannan",,,,,,,,,,,,
Fungi,Structural,GAG,Unknown,Unknown,GH135,GH135,"α-1,4-galactosaminogalactan hydrolase (EC 3.2.1.-)",GalNAc,yes,exopolysaccharide galactosaminogalactan (fungal GAG),alpha-galactan,Largely agree,,,,,,,,,,,,,
Animal,"Structural,Other","Mucin,Other",Resistant_oligosaccharides,Glycoprotein,GH136,GH136,lacto-N-biosidase (EC 3.2.1.140); Lacto-N-biosidase (Lewis antigen a/b specificity) (EC 3.2.1.-),"human_milk_glycan,mucin_glycan",yes,human milk oligosaccharides,human milk polysaccharide,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein",GH137,GH137,β-L-arabinofuranosidase (EC 3.2.1.185),"arabinan,arabinogalactan,rhamnogalacturonan",yes,pectin (rhamnogalacturonan II),pectin,"Disagree, in favor of our annotation",based on reported function,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,GH138,GH138,"rhamnogalacturonan α-1,2-galacturonohydrolase (EC 3.2.1.173)","homogalacturonan,rhamnogalacturonan",yes,pectin (rhamnogalacturonan II),pectin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,GH139,GH139,α-2-O-Me-L-fucosidase (EC 3.2.1.-),rhamnogalacturonan,yes,pectin (rhamnogalacturonan II),pectin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,GH140,GH140,"β-1,2-apiosidase (EC 3.2.1.-)",rhamnogalacturonan,yes,pectin (rhamnogalacturonan II),pectin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,"Hemicellulose,Pectin",GH141,GH141,α-L-fucosidase (EC 3.2.1.51); xylanase (EC 3.2.1.8),"xylan,arabinoxylan,rhamnogalacturonan",yes,"pectin (rhamnogalacturonan II),xylan","pectin,xylan",Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein",GH142,GH142,β-L-arabinofuranosidase (EC 3.2.1.185),"arabinan,arabinogalactan,rhamnogalacturonan",yes,pectin (rhamnogalacturonan II),pectin,"Disagree, in favor of our annotation",based on reported function,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,GH143,GH143,2-keto-3-deoxy-D-lyxo-heptulosaric acid hydrolase (EC 3.2.1.-),rhamnogalacturonan,yes,pectin (rhamnogalacturonan II),pectin,Largely agree,,,,,,,,,,,,,
Bacteria,Structural,Other,Unknown,Unknown,GH144,GH144,"endo-β-1,2-glucanase (EC 3.2.1.71); β-1,2-glucooligosaccharide sophorohydrolase (EC 3.2.1.214)",beta-glucan,yes,"beta-1,2-glucan (bacteria)",beta-glucan,"Agree, in favor of dbCAN with minor edit (see comments)","based on reported function, changed to beta-glucan only",,,,,,,,,,,,
"Plant,Algae,Bacteria",Structural,DF,NSP,"Gum,Pectin,Glycoprotein",GH145,GH145,"NOW PL42; L-rhamnose-α-1,4-D-glucuronate lyase (EC 4.2.2.-); L-Rhα-α-1,4-GlcA α-L-rhamnohydrolase (EC 3.2.1.-)",arabinogalactan,yes,,,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein",GH146,GH146,β-L-arabinofuranosidase (EC 3.2.1.185),"arabinan,arabinogalactan,rhamnogalacturonan",yes,arabinan,arabinan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein",GH147,GH147,β-galactosidase (EC 3.2.1.23),"galactan,arabinogalactan",yes,galactan,beta-galactan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,Hemicellulose,GH148,GH148,"β-1,3-glucanase (EC 3.2.1.-)",beta-glucan,yes,"beta-glucan and lichenin,glucomannan","beta-glucan,beta-mannan","Agree, in favor of our annotation with minor edit (see comments)","based on reported function, removal of xyloglucan",,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Cellulose,Mannans_and_Heteromannans",GH149,GH149,"β-1,3-glucan phosphorylase (EC 2.4.1.97)","beta-glucan,glucomannan",yes,"beta-1,3-glucan",beta-glucan,"Agree, in favor of our annotation with minor edit (see comments)","based on reported function, removal of xyloglucan, cellulose and laminarin",,,,,,,,,,,,
Algae,Structural,DF,NSP,Unknown,GH150,GH150,Ι-carrageenase (EC 3.2.1.162),carragenan,yes,carrageenan,carrageenan,Largely agree,,,,,,,,,,,,,
Animal,"Structural,Other","Mucin,Other",Resistant_oligosaccharides,Glycoprotein,GH151,GH151,α-L-fucosidase (EC 3.2.1.51),"human_milk_glycan,mucin_glycan",yes,fucosylated human milk oligosaccharides,human milk polysaccharide,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,Hemicellulose,GH152,GH152,"β-1,3-glucanase (EC 3.2.1.39)",beta-glucan,yes,"beta-1,3-glucan (fungal lentinan)",beta-glucan,"Agree, in favor of our annotation with minor edit (see comments)","based on reported function, removal of xyloglucan",,,,,,,,,,,,
Animal,Structural,Unknown,Unknown,Unknown,GH153,GH153,"poly-β-1,6-D-glucosamine hydrolase (EC 3.2.1.-)",GlcNAc,yes,"deacetylated poly-beta-(1,6)-N-acetyl-glucosamine (bacterial PNAG for biofilm)",exo-polysaccharide,Largely agree,,,,,,,,,,,,,
"Algae,Fungi,Bacteria",Structural,Unknown,Unknown,Unknown,GH154,GH154,"β-glucuronidase (3.2.1.31); β-1,6-D-glucuronidase (EC 3.2.1.-); β-1,6-D-glucuronidase (EC 3.2.1.-)",beta-glucuronan,yes,arabinogalactan proteins,arabinogalactan protein,"Disagree, in favor of our annotation",based on reported function,,,,,,,,,,,,
Animal,Unknown,Mucin,Unknown,Glycoprotein,GH156,GH156,exo-α-sialidase (EC 3.2.1.18),"mucin_glycan,sialic_acid",yes,"sialic acid (O-glycan, N-glycan, mucin, host glycan)",host glycan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage,Storage",DF,NSP,Hemicellulose,GH157,GH157,"endo-β-1,3-glucanase / laminarinase (EC 3.2.1.39)","beta-glucan,laminarin",yes,beta-glucans (bacteria curdlan),beta-glucan,"Agree, in favor of our annotation with minor edit (see comments)","based on reported function, removal of xyloglucan",,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,Hemicellulose,GH158,GH158,"endo-β-1,3-glucanase (EC 3.2.1.39)",beta-glucan,yes,"beta-glucans (yeast, seaweed, and plant)",beta-glucan,"Agree, in favor of our annotation with minor edit (see comments)","based on reported function, removal of xyloglucan",,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein",GH159,GH159,β-D-galactofuranosidase (EC 3.2.1.146),"galactan,arabinogalactan",yes,beta-galactoside,beta-galactan,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
Bacteria,Structural,Unknown,Unknown,Unknown,GH160,GH160,"endo-β-1,4-galactosidase (EC 3.2.1.-)",nostoc_commune_polysaccharide,yes,exopolysaccharides (bacteria),exo-polysaccharide,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi",Structural,DF,NSP,Hemicellulose,GH161,GH161,"β-1,3-glucan phosphorylase (EC 2.4.1.97)",beta-glucan,yes,"beta-1,3-glucan (fungi, algae, plant)",beta-glucan,Largely agree,,,,,,,,,,,,,
Bacteria,Structural,Unknown,Unknown,Unknown,GH162,GH162,"endo-β-1,2-glucanase (EC 3.2.1.71)",beta-glucan,yes,"beta-1,2-glucan (bacteria)",beta-glucan,Largely agree,,,,,,,,,,,,,
"Animal,Bacteria",Structural,Unknown,Unknown,Unknown,GH163,GH163,"endo-β-N-acetylglucosaminidase cleaving GlcNAc-β-1,2-Man (EC 3.2.1.-)",GlcNAc,yes,N-glycan (host glycan),host glycan,Largely agree,,,,,,,,,,,,,
"Plant,Fungi,Bacteria","Structural,Structural_or_Storage",DF,NSP,Mannans_and_Heteromannans,GH164,GH164,β-mannosidase (EC 3.2.1.25),"beta-mannan,glucomannan,galactomannan",yes,beta-mannoside,beta-mannan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein",GH165,GH165,β-galactosidase (EC 3.2.1.23),"galactan,arabinogalactan",yes,beta-galactoside,beta-galactan,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
Animal,Structural,GAG,Unknown,Unknown,GH166,GH166,"α-1,4-galactosaminogalactan hydrolase (EC 3.2.1.-)",GalNAc,yes,exopolysaccharide galactosaminogalactan (fungal GAG),alpha-galactan,Largely agree,,,,,,,,,,,,,
Algae,Structural,DF,NSP,Unknown,GH167,GH167,β-carrageenase (EC 3.2.1.-),carragenan,yes,carrageenan,carrageenan,Largely agree,,,,,,,,,,,,,
Algae,Structural,DF,NSP,Unknown,GH168,GH168,"endo-α-(1,3)-L-fucanase (EC 3.2.1.211)",fucoidan,yes,Sulfated fucans (algae),fucoidan,Largely agree,,,,,,,,,,,,,
Bacteria,Structural,PG,PG,PG,GH170,GH170,6-phospho-N-acetylmuramidase (EC 3.2.1.-),peptidoglycan,yes,peptidoglycan,peptidoglycan,Largely agree,,,,,,,,,,,,,
Bacteria,Structural,PG,PG,PG,GH171,GH171,peptidoglycan β-N-acetylmuramidase (EC 3.2.1.92),peptidoglycan,yes,peptidoglycan,peptidoglycan,Largely agree,,,,,,,,,,,,,
Plant,Storage,DF,NSP,Fructan,GH172,GH172,difructose-anhydride-I synthase (EC 4.2.1.179 (old 3.2.1.134)); α-D-Arabinofuranosidase (EC 3.2.1.-); α-D-Fructofuranosidase (EC 3.2.1.-),fructan,yes,fructooligosaccharides,fructan,Largely agree,,,,,,,,,,,,,
"Algae,Plant,Bacteria",Structural,DF,"NSP,Resistant_oligosaccharides","Pectin,Gum",GH173,GH173,β-galactosidase (EC 3.2.1.23),galactan,yes,beta-galactoside (pectin),pectin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1,pectate lyase (EC 4.2.2.2); exo-pectate lyase (EC 4.2.2.9); pectin lyase (EC 4.2.2.10).,"homogalacturonan,rhamnogalacturonan",yes,"pectin,homogalacturonan(de-esterified pectin)",pectin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_1,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_2,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_3,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_4,pectin lyase (EC 4.2.2.10),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_5,pectate lyase (EC 4.2.2.2);exo-polygalacturonate lyase (EC 4.2.2.9),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_6,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_7,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_8,pectin lyase (EC 4.2.2.10),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_9,NO KNOWN ACTIVITY; poly a-D-N-acetylgalactosaminuric acid lyase (EC 4.2.2.-);pectin lyase (EC 4.2.2.10);pectate lyase (EC 4.2.2.2);exo-polygalacturonate lyase (EC 4.2.2.9),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_10,NO KNOWN ACTIVITY; poly a-D-N-acetylgalactosaminuric acid lyase (EC 4.2.2.-);pectin lyase (EC 4.2.2.10);pectate lyase (EC 4.2.2.2);exo-polygalacturonate lyase (EC 4.2.2.9),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_11,NO KNOWN ACTIVITY; poly a-D-N-acetylgalactosaminuric acid lyase (EC 4.2.2.-);pectin lyase (EC 4.2.2.10);pectate lyase (EC 4.2.2.2);exo-polygalacturonate lyase (EC 4.2.2.9),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL1,PL1_12,NO KNOWN ACTIVITY; poly a-D-N-acetylgalactosaminuric acid lyase (EC 4.2.2.-);pectin lyase (EC 4.2.2.10);pectate lyase (EC 4.2.2.2);exo-polygalacturonate lyase (EC 4.2.2.9),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Bacteria,Structural,PG,PG,PG,PL1,PL1_13,poly a-D-N-acetylgalactosaminuric acid lyase (EC 4.2.2.-),peptidoglycan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL2,PL2,pectate lyase (EC 4.2.2.2); exo-polygalacturonate lyase (EC 4.2.2.9).,"homogalacturonan,rhamnogalacturonan",yes,"pectin,homogalacturonan(de-esterified pectin)",pectin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL2,PL2_1,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL2,PL2_2,exo-polygalacturonate lyase (EC 4.2.2.9),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL3,PL3,pectate lyase (EC 4.2.2.2).,"homogalacturonan,rhamnogalacturonan",yes,pectate,pectin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL3,PL3_1,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL3,PL3_2,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL3,PL3_3,NO KNOWN ACTIVITY; pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL3,PL3_4,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL3,PL3_5,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL4,PL4,rhamnogalacturonan endolyase (EC 4.2.2.23).,rhamnogalacturonan,yes,rhamnogalacturonan I(pectin from the plant cell wall),pectin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL4,PL4_1,rhamnogalacturonan endolyase (EC 4.2.2.23),rhamnogalacturonan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL4,PL4_2,NO KNOWN ACTIVITY; rhamnogalacturonan endolyase (EC 4.2.2.23),rhamnogalacturonan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL4,PL4_3,rhamnogalacturonan endolyase (EC 4.2.2.23),rhamnogalacturonan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL4,PL4_4,rhamnogalacturonan endolyase (EC 4.2.2.23),rhamnogalacturonan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL4,PL4_5,NO KNOWN ACTIVITY; rhamnogalacturonan endolyase (EC 4.2.2.23),rhamnogalacturonan,yes,,,,,,,,,,,,,,,,
"Algae,Bacteria,Animal",Structural,"DF,GAG",NSP,"Gum,Glycoprotein",PL5,PL5,"alginate lyase (EC 4.2.2.3); endo-β-1,4-glucuronan lyase (EC 4.2.2.14)","alginate,beta-glucuronan",yes,"alginate,host glycan","alginate,host glycan",Largely agree,,,,,,,,,,,,,
"Algae,Bacteria,Animal",Structural,"DF,GAG",NSP,"Gum,Glycoprotein",PL5,PL5_1,"alginate lyase (EC 4.2.2.3); endo-β-1,4-glucuronan lyase (EC 4.2.2.14)","alginate,beta-glucuronan",yes,,,,,,,,,,,,,,,,
"Algae,Bacteria,Animal",Structural,"DF,GAG",NSP,"Gum,Glycoprotein",PL6,PL6,alginate lyase (EC 4.2.2.3); chondroitinase B (EC 4.2.2.19); MG-specific alginate lyase (EC 4.2.2.-); poly(α-L-guluronate) lyase / G-specific alginate lyase (EC 4.2.2.11); oligoalginate lyase / exo-alginate lyase (EC 4.2.2.26),"alginate,chondroitin",yes,"alginate,dermatan sulfate(host glycan)","alginate,host glycan",Largely agree,,,,,,,,,,,,,
"Algae,Bacteria",Structural,DF,NSP,Gum,PL6,PL6_1,poly-(MG)-lyase / MG-specific alginate lyase (EC 4.2.2.-);poly(a-L-guluronate) lyase / G-specific alginate lyase (EC 4.2.2.11);oligoalginate lyase / exo-alginate lyase (EC 4.2.2.26);poly(b-mannuronate) lyase / M-specific alginate lyase (EC 4.2.2.3),alginate,yes,,,,,,,,,,,,,,,,
"Algae,Bacteria",Structural,DF,NSP,Gum,PL6,PL6_2,poly-(MG)-lyase / MG-specific alginate lyase (EC 4.2.2.-),alginate,yes,,,,,,,,,,,,,,,,
"Algae,Bacteria",Structural,DF,NSP,Gum,PL6,PL6_3,poly-(MG)-lyase / MG-specific alginate lyase (EC 4.2.2.-),alginate,yes,,,,,,,,,,,,,,,,
"Algae,Bacteria,Animal",Structural,"DF,GAG",NSP,"Gum,Glycoprotein",PL7,PL7,"poly(β-mannuronate) lyase / M-specific alginate lyase (EC 4.2.2.3); α-L-guluronate lyase / G-specific alginate lyase (EC 4.2.2.11); poly-(MG)-lyase / MG-specific alginate lyase (EC 4.2.2.-); endo-β-1,4-glucuronan lyase (EC 4.2.2.14); oligoalginate lyase / exo-alginate lyase (EC 4.2.2.26)","alginate,beta-glucuronan",yes,"alginate,glucuronan(host glycan)","alginate,host glycan",Largely agree,,,,,,,,,,,,,
"Algae,Bacteria",Structural,DF,NSP,Gum,PL7,PL7_1,poly-(MG)-lyase / MG-specific alginate lyase (EC 4.2.2.-),alginate,yes,,,,,,,,,,,,,,,,
"Algae,Bacteria,Animal",Structural,"DF,GAG",NSP,"Gum,Glycoprotein",PL7,PL7_2,"NO KNOWN ACTIVITY; poly-(MG)-lyase / MG-specific alginate lyase (EC 4.2.2.-);poly(a-L-guluronate) lyase / G-specific alginate lyase (EC 4.2.2.11);endo-b-1,4-glucuronan lyase (EC 4.2.2.14);oligoalginate lyase / exo-alginate lyase (EC 4.2.2.26);poly(b-mannuronate) lyase / M-specific alginate lyase (EC 4.2.2.3)","alginate,beta-glucuronan",yes,,,,,,,,,,,,,,,,
"Algae,Bacteria",Structural,DF,NSP,Gum,PL7,PL7_3,poly(a-L-guluronate) lyase / G-specific alginate lyase (EC 4.2.2.11);poly(b-mannuronate) lyase / M-specific alginate lyase (EC 4.2.2.3),alginate,yes,,,,,,,,,,,,,,,,
"Algae,Fungi,Bacteria",Structural,DF,NSP,Unknown,PL7,PL7_4,"endo-b-1,4-glucuronan lyase (EC 4.2.2.14)",beta-glucuronan,yes,,,,,,,,,,,,,,,,
"Algae,Bacteria",Structural,DF,NSP,Gum,PL7,PL7_5,poly-(MG)-lyase / MG-specific alginate lyase (EC 4.2.2.-);poly(a-L-guluronate) lyase / G-specific alginate lyase (EC 4.2.2.11);oligoalginate lyase / exo-alginate lyase (EC 4.2.2.26);poly(b-mannuronate) lyase / M-specific alginate lyase (EC 4.2.2.3),alginate,yes,,,,,,,,,,,,,,,,
"Algae,Bacteria,Animal",Structural,"DF,GAG",NSP,"Gum,Glycoprotein",PL8,PL8,hyaluronate lyase (EC 4.2.2.1); chondroitin AC lyase (EC 4.2.2.5); xanthan lyase (EC 4.2.2.12); chondroitin ABC lyase (EC 4.2.2.20); heparin lyase / heparin lyase I (EC 4.2.2.7); poly(β-mannuronate) lyase / M-specific alginate lyase (EC 4.2.2.3),"alginate,chondroitin,hyaluronan,xanthan,heparin_and_heparan_sulfate",yes,"alginate,hyaluronan,glycosaminoglycans(host glycan),Heparin and heparan sulfate(host glycan),xanthan","alginate,host glycan,xanthan",Largely agree,,,,,,,,,,,,,
"Animal,Bacteria",Structural,GAG,Unknown,Unknown,PL8,PL8_1,hyaluronate lyase (EC 4.2.2.1),hyaluronan,yes,,,,,,,,,,,,,,,,
Animal,Structural,GAG,Unknown,Unknown,PL8,PL8_2,chondroitin-sulfate ABC endolyase (EC 4.2.2.20);heparin lyase / heparin lyase I (EC 4.2.2.7),"chondroitin,heparin_and_heparan_sulfate",yes,,,,,,,,,,,,,,,,
Animal,Structural,GAG,Unknown,Unknown,PL8,PL8_3,chondroitin AC lyase (EC 4.2.2.5),chondroitin,yes,,,,,,,,,,,,,,,,
"Algae,Bacteria,Fungi",Structural,"DF,GAG",NSP,"Gum,Glycoprotein",PL8,PL8_4,"exo-b-1,4-glucuronan lyase (EC 4.2.2.-); poly(b-mannuronate) lyase / M-specific alginate lyase (EC 4.2.2.3)","alginate,beta-glucuronan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL9,PL9,pectate lyase (EC 4.2.2.2); exopolygalacturonate lyase (EC 4.2.2.9); thiopeptidoglycan lyase (EC 4.2.2.-); rhamnogalacturonan endolyase (EC 4.2.2.23),"homogalacturonan,rhamnogalacturonan",yes,"pectate,rhamnogalacturonan I(pectin from the plant cell wall),homogalacturonan(de-esterified pectin)",pectin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL9,PL9_1,pectate lyase (EC 4.2.2.2);rhamnogalacturonan endolyase (EC 4.2.2.23);exo-polygalacturonate lyase (EC 4.2.2.9),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL9,PL9_2,NO KNOWN ACTIVITY; thiopeptidoglycan lyase (EC 4.2.2.-);pectate lyase (EC 4.2.2.2);rhamnogalacturonan endolyase (EC 4.2.2.23);exo-polygalacturonate lyase (EC 4.2.2.9),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL9,PL9_3,NO KNOWN ACTIVITY; thiopeptidoglycan lyase (EC 4.2.2.-);pectate lyase (EC 4.2.2.2);rhamnogalacturonan endolyase (EC 4.2.2.23);exo-polygalacturonate lyase (EC 4.2.2.9),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Bacteria,Structural,PG,PG,PG,PL9,PL9_4,thiopeptidoglycan lyase (EC 4.2.2.-),peptidoglycan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL10,PL10,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,pectin,pectin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL10,PL10_1,pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL10,PL10_2,NO KNOWN ACTIVITY; pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL10,PL10_3,NO KNOWN ACTIVITY; pectate lyase (EC 4.2.2.2),"homogalacturonan,rhamnogalacturonan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL11,PL11,rhamnogalacturonan endolyase (EC 4.2.2.23); rhamnogalacturonan exolyase (EC 4.2.2.24),rhamnogalacturonan,yes,rhamnogalacturonan I(pectin from the plant cell wall),pectin,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL11,PL11_1,rhamnogalacturonan endolyase (EC 4.2.2.23);rhamnogalacturonan exolyase (EC 4.2.2.24),rhamnogalacturonan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,PL11,PL11_2,NO KNOWN ACTIVITY; rhamnogalacturonan endolyase (EC 4.2.2.23);rhamnogalacturonan exolyase (EC 4.2.2.24),rhamnogalacturonan,yes,,,,,,,,,,,,,,,,
Animal,Structural,GAG,Unknown,Unknown,PL12,PL12,heparin-sulfate lyase (EC 4.2.2.8); heparin lyase / heparin lyase I (EC 4.2.2.7),heparin_and_heparan_sulfate,yes,"Heparin and heparan sulfate(host glycan),heparin sulfate(host glycan)",host glycan,Largely agree,,,,,,,,,,,,,
